index,drop_file,min_distance_km,max_distance_km,note
228,D20230827_185202_PQC.nc,55.97,59.7,
259,D20230828_080324_PQC.nc,64.28,69.03,
307,D20230828_190343_PQC.nc,98.71,100.96,
308,D20230828_191339_PQC.nc,67.14,75.99,
349,D20230829_104919_PQC.nc,95.08,97.48,
368,D20230829_213704_PQC.nc,81.3,89.12,
369,D20230829_214016_PQC.nc,76.06,85.17,
370,D20230829_214048_PQC.nc,82.17,82.3,
374,D20230829_225754_PQC.nc,58.23,60.39,
375,D20230829_230101_PQC.nc,37.08,38.19,
376,D20230829_230358_PQC.nc,20.67,26.98,
377,D20230829_231340_PQC.nc,58.73,60.82,
380,D20230830_001436_PQC.nc,17.62,19.39,
381,D20230830_003047_PQC.nc,94.43,95.75,
383,D20230830_011911_PQC.nc,31.71,40.03,
384,D20230830_014837_PQC.nc,55.55,62.27,
